Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,Chassis Angle,Chassis Heave
0.116593131,0.510615068,203.1129261,2.235471577,1.285585656,53.79052059,99.08297161,-4.998495907,-54.84091642,-38.89529564,12.6525657,-3543.088687,2922.117083,54.50905672,44.95564744,1.141465473,0.656439408,-184.8546419,0.046285624,5.333389246,5.165070629,0.65870196,55.22379429,1.15102892,53.97592056,99.81628302,44.97718577,-0.50275,0.75
0.11438989,0.510573661,199.3908528,2.249617956,1.287411082,53.86253106,99.35457519,-4.692617856,-55.4020302,-38.20980027,12.7500875,-3610.711942,2872.217103,55.54941449,44.18795544,1.148595676,0.65731819,-182.4485193,0.052635275,5.339739246,5.171420629,0.657980153,56.22095553,1.156552925,53.91677426,99.78928433,43.95290398,-0.50275,1
0.12304683,0.512879767,221.1063979,2.165853602,1.244027385,52.28253244,98.38712555,-6.892022687,-55.63376734,-40.28581473,12.56220588,-3476.091666,2943.797642,53.47833332,45.28919449,1.110822491,0.638036476,-192.0147241,0.002254102,5.005929301,5.383848465,0.641245483,54.34750752,1.122915388,52.54548763,99.46777393,45.50520423,-0.1751625,-1
0.123860893,0.512804279,218.5590447,2.191632045,1.246140658,52.36363942,100.6185023,-8.063778354,-55.16120702,-40.74383392,12.73695223,-3476.479251,3089.085421,53.48429617,47.52439109,1.123878291,0.639026261,-190.8356713,0.008604095,5.012279301,5.390198465,0.642081644,54.49234393,1.135642624,52.6140062,101.6578496,47.56009503,-0.1751625,-0.5
0.12287954,0.512737084,214.8071208,2.215407816,1.250739279,52.54999036,101.9565305,-8.40589637,-54.95697093,-41.14603536,12.64047149,-3465.964208,3186.94904,53.32252627,49.02998524,1.135921744,0.641300411,-189.0143838,0.014954099,5.018629301,5.396548465,0.644778148,54.29961999,1.14695298,52.83496607,103.0119949,49.11282768,-0.1751625,-0.25
0.121244847,0.512800985,205.6613382,2.205718044,1.269669016,53.35197225,100.6559484,-7.493689305,-54.87667214,-40.21754263,12.46246856,-3524.897688,3043.034222,54.2291952,46.81591111,1.131094386,0.651087523,-187.581173,0.027654108,5.031329301,5.409248465,0.651066156,55.34946713,1.159884321,53.35022138,103.1638042,48.21477745,-0.1751625,0.25
0.119466899,0.512841943,201.3203075,2.180887855,1.269934927,53.36741072,98.95271705,-6.816130467,-53.93547864,-39.8216713,12.37432394,-3466.273703,2990.441163,53.32728773,46.00678713,1.118450765,0.651275896,-187.4061575,0.034004089,5.037679301,5.415598465,0.655718428,54.62831963,1.136678904,53.73144453,100.491213,46.25075871,-0.1751625,0.5
0.119475883,0.512734805,203.5699814,2.211852487,1.283429417,53.92322902,99.00328646,-5.543519141,-54.40389027,-39.4640975,12.49540661,-3508.662143,2951.327755,53.97941759,45.40504239,1.134093753,0.658058932,-184.6147931,0.046704098,5.050379301,5.428298465,0.661331166,54.80975601,1.144614714,54.19136529,99.85166761,45.42658798,-0.1751625,0.75
0.116768089,0.512571647,200.4037628,2.22824268,1.278973835,53.71893073,99.09665253,-4.965506391,-55.12904102,-38.80889841,12.6268407,-3575.233232,2890.867867,55.00358819,44.47489026,1.142134021,0.655565725,-182.6691512,0.053054102,5.056729301,5.434648465,0.65788896,55.58715912,1.150479192,53.9093032,99.75699135,44.55441078,-0.1751625,1
0.126241534,0.516390414,214.1765346,2.251321176,1.254798728,53.09618936,104.3385901,-8.628019156,-55.22350514,-42.1961048,14.18231011,-3489.68997,3318.721529,53.68753801,51.05725429,1.162560675,0.647966035,-187.6307075,0.012796101,4.741964409,5.666130901,0.650416969,54.87922386,1.183714372,53.29702591,106.194144,51.72923473,0.152425,0
0.120736547,0.516270815,201.1722476,2.251017457,1.256589506,53.15965022,103.4271346,-7.754869536,-55.27888865,-41.13407007,12.60378392,-3535.609184,3213.27787,54.39398744,49.43504416,1.162134616,0.648740488,-186.082816,0.019146086,4.748314409,5.672480901,0.651687033,55.6145968,1.180307879,53.40109855,105.1834051,49.97828919,0.152425,0.25
0.119191061,0.516447467,197.3733323,2.256431164,1.2564034,53.16996466,102.8810707,-6.941894325,-55.07784411,-40.97389793,12.70125299,-3526.44443,3186.772695,54.25299123,49.02727222,1.165328159,0.648866354,-186.2734334,0.02549609,4.754664409,5.678830901,0.653279834,55.56188945,1.179253938,53.53161789,104.316336,49.15973597,0.152425,0.5
0.118639385,0.516287746,196.8560488,2.251507643,1.278944668,54.10715559,101.4201123,-5.682491374,-55.12009089,-40.83054384,12.68251012,-3512.222348,3105.538521,54.03418996,47.77751571,1.162425807,0.66030346,-182.7567294,0.038196097,4.767364409,5.691530901,0.663178955,54.68856803,1.17056489,54.34278181,102.0708661,47.77654104,0.152425,0.75
0.12494086,0.522612541,210.9993094,2.340919759,1.231947346,52.75736216,109.4495911,-8.798965323,-56.8503437,-43.15183692,14.40306521,-3612.008952,3530.122866,55.56936849,54.30958256,1.223394022,0.643831132,-188.492517,0.002505337,4.458953822,5.929359334,0.6463585,56.17804047,1.231959942,52.96446187,110.1556885,54.40995195,0.4800125,0
0.124501007,0.522679003,206.2009844,2.323935542,1.242543793,53.21791683,108.1575259,-8.213316355,-55.8748495,-43.86873342,14.52684023,-3512.290353,3545.448449,54.03523619,54.54536076,1.214672313,0.649451551,-187.5410031,0.008860734,4.465303822,5.935709334,0.651837871,54.87393354,1.227631177,53.41345873,109.2579974,54.81186481,0.4800125,0.25
0.121365251,0.522529668,200.4037628,2.329586324,1.245208391,53.31680483,107.7097268,-7.551515763,-55.93454849,-43.41333651,14.41123712,-3538.260989,3490.222544,54.43478445,53.69573144,1.217277968,0.650658327,-185.8035273,0.015210768,4.471653822,5.942059334,0.653104984,55.21054921,1.227673615,53.51729086,108.602881,53.81687683,0.4800125,0.5
0.114034937,0.529090793,180.9574611,2.347523607,1.227392162,53.21384761,108.1792719,-6.035343007,-56.09081042,-43.79444764,14.68067389,-3507.330673,3551.738805,53.95893343,54.64213546,1.242053126,0.649401892,-180.5522707,0.02397816,4.207706791,6.224325159,0.651844111,54.44677983,1.249143281,53.41397001,108.7408632,54.71812188,0.8076,1
