,Element Count,Downforce,Front Axle Moment,Rear Axle Downforce,Rear Axle Moment,Front Axle Downforce,Frontal Area,Cl,ClA,Drag,Cd,CdA,Center of Pressure,Unnamed: 13,RW 1st Element AOA,RW 1st Element X,RW 1st Element Z,FW 1st Element AOA,FW 1st Element Z,FW 4th Element AOA,FW 4th Element X,FW 4th Element Z,Bullhorn AOA,Bullhorn X
0,19415508.0,99.75046026192643,-3762.840100283432,62.71400167139053,2371.4204872654905,39.523674787758175,0.5484474010653161,4.439139725734844,2.434634645545075,56.22976235054228,2.502362106034266,1.3724139935788242,-9.766225420402243,,10.1697,-27.4932,4.1587,2.0416,6.4496,9.7703,39.4732,-1.3416,-2.2219,10.6351
0,19581909.0,103.89459532118462,-3583.459572336168,59.7243262056028,2805.649005855964,46.76081676426607,0.541962248913668,4.67888954665092,2.5357815011215847,56.14529648573089,2.528501506826097,1.3703523630210697,-8.100213028955828,,6.9168,-5.089,4.7832,0.9319,3.0647,8.399,36.9398,-1.7637,4.018,-1.7511
0,19749246.0,104.7785686909582,-3505.555194503964,58.4259199083994,2937.914265717253,48.96523776195421,0.5416058746097671,4.721804131948515,2.557356856619988,55.908867954583165,2.5195106882892127,1.3645817899195352,-7.561172828971664,,7.3397,-13.0811,4.1971,1.2362,6.6429,6.7035,35.2696,-1.919,9.4899,4.1233
0,19260631.0,103.55927497964336,-3586.8199205784867,59.78033200964144,2781.6677767683923,46.36112961280654,0.5431410446921195,4.653666414963861,2.527597238272102,56.039045416200864,2.518239178782116,1.3677590583483437,-8.182874252711438,,7.6305,-14.9496,6.3862,1.2129,5.732,6.2644,31.3713,0.4397,4.4854,57.1465
0,19116069.0,109.02615574368214,-3523.1238688940693,58.7187311482345,3181.555472276953,53.025924537949216,0.5466940854997168,4.867491637935813,2.6610288896788377,56.84111357068579,2.5376813766297137,1.3873353994862436,-6.999875483833793,,10.6116,-15.3115,5.1238,1.0639,6.4547,7.2436,36.1112,-2.5352,5.7908,-3.1427
0,19745806.0,110.04276852663862,-3547.567727103158,59.12612878505265,3219.6292978050037,53.66048829675005,0.5486459924715454,4.89540000523006,2.6858415944146548,57.620471673017214,2.563323888576681,1.4063573788741743,-6.934586285515441,,11.9191,-11.7209,0.7674,0.8225,6.7897,10.3806,31.5674,0.0933,4.8355,-11.9537
0,19350474.0,102.91284015994636,-3603.673705334376,60.06122842223961,2725.060795621493,45.41767992702489,0.5492663218099662,4.573044824698662,2.5118195103343357,56.43932527392916,2.5079432649248594,1.377528772433355,-8.340160497889485,,11.1129,-37.8556,2.0194,0.8599,2.9247,8.5662,28.5422,0.3144,6.4055,-14.5887
0,19370589.0,111.22396542144624,-3460.908789366621,57.681813156110366,3378.927194188221,56.315453236470354,0.5513651094063465,4.923545761624268,2.714671347525118,57.58397352752522,2.549066900506884,1.4054665504820747,-6.323993605547177,,12.0515,-17.7195,4.5781,0.8696,5.435,9.1944,21.0741,-2.1111,-9.0806,-3.8766
0,19567906.0,106.03747939038806,-3616.598279044279,60.27663798407132,2904.289232847848,48.404820547464126,0.5410709630809257,4.783260613440995,2.5880834267815787,56.36508119581571,2.5425809290011108,1.3757167119658258,-7.959960520945315,,8.7556,-17.2218,-4.6278,0.8056,6.7084,1.5378,25.077,-1.6117,4.2293,-10.9428
0,19508682.0,110.58142688048476,-3391.9270605530223,56.5321176758837,3408.395332413345,56.80658887355575,0.544453668373636,4.957242050625653,2.698988619479182,56.55194082473177,2.535160442484109,1.3802774028262037,-6.107016101736662,,9.1234,-18.875,2.9697,0.7639,6.6951,8.6862,29.3611,12.957,2.8826,-7.3277
